matched_name,HQ CITY,HQ STATE,INDUSTRY,NEWSWEEK_MOST_RESPONSIBLE_2025_RANK,FORTUNE_100_BEST_COMPANIES_TO_WORK_FOR_2024_RANK,JUST_CAPITALS_JUST_100_RANK,POINTS_OF_LIGHT_CIVIC_50
,Oakland,CA,Retail & Consumer Goods,73,91.0,70.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,72.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,73.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,75.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,78.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,82.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,83.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,85.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,86.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,89.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,90.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,94.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,95.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,97.0,
,Oakland,CA,Retail & Consumer Goods,73,91.0,100.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,2.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,3.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,12.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,15.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,21.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,22.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,26.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,27.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,28.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,36.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,38.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,41.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,43.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,46.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,47.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,51.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,52.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,58.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,63.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,64.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,66.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,68.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,70.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,72.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,73.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,75.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,78.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,82.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,83.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,85.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,86.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,89.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,90.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,94.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,95.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,97.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,41.0,100.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,2.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,3.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,12.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,15.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,21.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,22.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,26.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,27.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,28.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,36.0,
,Hunt Valley,MD,Retail & Consumer Goods,191,91.0,38.0,
