RANK,COMPANY,HQ CITY,HQ STATE,INDUSTRY,RANK IN INDUSTRY,SCORE OVERALL,SCORE ENVIRONMENTAL CONCERNS,SCORE SOCIAL CONCERNS,SCORE CORPORATE GOVERNANCE CONCERNS
1,Merck & Co,Rahway,New Jersey,Health Care & Life Sciences,1,91.98,91.41,84.61,100
2,Xylem,Washington,District of Columbia,Capital Goods,1,91.27,95.42,88.88,89.61
3,HP,Palo Alto,California,Technology Hardware,1,90.29,98.89,90.07,82.01
4,Cisco Systems,San Jose,California,Technology Hardware,2,90.03,98.6,84.15,87.46
5,Hewlett Packard Enterprise,Spring,Texas,Technology Hardware,3,88.37,94.55,81.48,89.16
6,Regency Centers,Jacksonville,Florida,Real Estate & Housing,1,88.22,86.69,90.53,87.52
7,Applied Materials,Santa Clara,California,Technology Hardware,4,88.13,95.19,87.32,81.98
8,Hasbro,Pawtucket,Rhode Island,Consumer Goods,1,88.03,94.03,89.99,80.17
9,Illumina,San Diego,California,Health Care & Life Sciences,2,87.74,92.86,97.91,72.54
*,Mastercard,Purchase,New York,Financial,*,87.65,98.39,75.02,89.63
10,Regeneron Pharmaceuticals,Tarrytown,New York,Health Care & Life Sciences,3,87.43,90.04,86.33,86.02
11,Cadence Design Systems,San Jose,California,Software & Telecommunications,1,87.39,84.5,87.91,89.84
12,General Mills,Minneapolis,Minnesota,Consumer Goods,2,86.8,98.16,81.61,80.73
13,QUALCOMM,San Diego,California,Technology Hardware,5,86.71,87,79.13,94.07
14,Juniper Networks,Sunnyvale,California,Technology Hardware,6,86.49,85.57,76.81,97.18
15,AbbVie,North Chicago,Illinois,Health Care & Life Sciences,4,86.4,96.15,83.53,79.62
16,Ciena,Hanover,Maryland,Technology Hardware,7,86.35,83.16,91.29,84.67
17,Agilent Technologies,Santa Clara,California,Health Care & Life Sciences,5,86.2,95.07,77.58,86.06
18,Keysight Technologies,Santa Rosa,California,Software & Telecommunications,2,86.15,84.3,78.38,95.87
19,Edgewell Personal Care,Shelton,Connecticut,Consumer Goods,3,86.13,93.4,73.89,91.21
20,Williams Companies,Tulsa,Oklahoma,Energy & Utilities,1,86.13,88.52,92.73,77.22
21,Clorox,Oakland,California,Consumer Goods,4,85.84,98.91,80.49,78.24
22,Unum,Chattanooga,Tennessee,Financial,1,85.82,83.56,86.62,87.37
23,Tapestry,New York,New York,Consumer Goods,5,85.78,92.22,81.89,83.33
24,American Tower,Boston,Massachusetts,Software & Telecommunications,3,85.74,91.84,89.05,76.42
25,NVIDIA,Santa Clara,California,Technology Hardware,8,85.61,88.16,83.95,84.8
26,PayPal Holdings,San Jose,California,Financial,2,85.6,89.35,77.15,90.38
27,Western Digital,San Jose,California,Technology Hardware,9,85.57,91.44,78.59,86.78
28,Broadcom,San Jose,California,Technology Hardware,10,85.39,85.3,83.51,87.45
29,AptarGroup,Crystal Lake,Illinois,Materials & Chemicals,1,85.27,91.85,76.33,87.72
30,First Solar,Tempe,Arizona,Energy & Utilities,2,85.15,92.61,81.06,81.86
31,HNI,Muscatine,Iowa,Consumer Goods,6,85.14,89.24,74.87,91.41
32,Autodesk,San Francisco,California,Software & Telecommunications,4,85.03,81.16,86.19,87.83
33,United Rentals,Stamford,Connecticut,Professional Services,1,84.81,88.28,83.18,83.07
34,Microsoft,Redmond,Washington,Software & Telecommunications,5,84.8,94.1,73.15,87.25
35,Berry Global,Evansville,Indiana,Materials & Chemicals,2,84.77,93.33,77.45,83.64
36,Healthpeak Properties,Denver,Colorado,Real Estate & Housing,2,84.59,92.54,77.25,84.07
37,Ecolab,Saint Paul,Minnesota,Materials & Chemicals,3,84.49,95.52,85.62,72.43
38,Avery Dennison,Glendale,California,Capital Goods,2,84.46,94.5,69.84,89.12
39,Moody's,New York,New York,Financial,3,84.39,86.81,80.3,86.14
40,Dell Technologies,Round Rock,Texas,Technology Hardware,11,84.31,100,71.59,81.45
41,Lear Corporation,Southfield,Michigan,Automotive & Components,1,84.3,88.74,67.79,96.47
42,Estee Lauder Companies,New York,New York,Consumer Goods,7,84.22,96.81,81.83,74.13
43,Greif,Delaware,Ohio,Materials & Chemicals,4,84.17,89.17,67.3,96.12
44,Intel,Santa Clara,California,Technology Hardware,12,84.12,92.28,84.11,76.07
45,Micron Technology,Boise,Idaho,Technology Hardware,13,83.91,78.9,86.94,85.98
46,Avient,Avon Lake,Ohio,Materials & Chemicals,5,83.72,92.44,77.38,81.44
47,Lam Research,Fremont,California,Technology Hardware,14,83.71,93.58,81.87,75.76
48,Crown Holdings,Philadelphia,Pennsylvania,Materials & Chemicals,6,83.65,88.71,75.77,86.57
49,Advanced Micro Devices,Santa Clara,California,Technology Hardware,15,83.61,92.57,78.65,79.71
50,Watts Water Technologies,North Andover,Massachusetts,Capital Goods,3,83.47,89.05,68.6,92.84
51,Zoetis,Parsippany,New Jersey,Health Care & Life Sciences,6,83.47,90.29,75.66,84.54
52,Owens Corning,Toledo,Ohio,Materials & Chemicals,7,83.43,83.84,75.34,91.18
53,Brixmor Property Group,New York,New York,Real Estate & Housing,3,83.38,71.81,92.85,85.55
54,Ingersoll Rand,Davidson,North Carolina,Capital Goods,4,83.35,89.64,66.64,93.86
55,Jabil,Saint Petersburg,Florida,Technology Hardware,16,83.33,91.85,77.03,81.19
56,Granite Construction,Watsonville,California,Capital Goods,5,83.24,87.65,76.74,85.42
57,Analog Devices,Wilmington,Massachusetts,Technology Hardware,17,83.14,93.49,68.02,88
